Id,Influential,Kundan_follower,Kundan_following,Kundan_mentions_r,Kundan_retweets_r,Kundan_mentions_s,Kundan_retweets_s,Kundan_posts,Hritik_follower,Hritik_following,Hritik_mentions_r,Hritik_retweets_r,Hritik_mentions_s,Hritik_retweets_s,Hritik_posts
1,0,228,302,0.5839793876,0.1005033585,0.1005033585,0.1005033585,0.3621500682,34463,29808,15.4304976173,3.9840288049,8.2043311985,0.3324230437,6.9888149568
2,0,21591,1179,90.4565058494,25.7982917525,5.7093286483,1.1111588222,5.1766200245,39262,848,40.4950207027,8.9436069153,3.2276769003,0.5643427289,1.0703207086
3,0,7310,1215,25.5036444818,9.5563474425,5.3615192835,0.5912056069,3.5897184205,3622,482,0.734695581,0.3543788993,0.6032023168,0.1005033585,0.6032023168
4,0,20,7,7.6908237318,0.2773056408,1.3315079797,0.1005033585,2.8306268013,19562,17637,572.874855518,390.2936809,27.5520404128,7.1675567456,32.1019061639
5,1,45589,862,148.854279232,36.998883856,27.8817679309,3.3334918042,23.8612817152,7554,1711,21.6018659681,3.5816611274,6.7646570426,1.1197266986,4.5632463243
6,0,285735,276251,19.3275815086,7.2920155807,0.1005033585,0.1005033585,0.1005033585,11147,1500,40.5925124122,5.9230088067,19.6480644548,1.8617652072,12.2610292136
7,0,285735,276251,19.3275815086,7.2920155807,0.1005033585,0.1005033585,0.1005033585,185616,1001,266.013873916,54.3452304246,13.1119037493,0.3347656668,13.6651725665
8,1,9512,12,52.1670684554,23.1822884278,0.3621500682,0.1005033585,6.8060452592,8120,710,7.3686429024,2.088374797,1.5987978599,0.5958120124,1.3328494442
9,1,2273871,4524,0,782.40533805,0,944.52424508,12.9557232877,2.7918609767,66.2062083002,298668,551,493.256379358,206.660552171,4.115212281
10,0,182598,1402,145.844909693,74.002957632,23.5491892963,0.1005033585,15.9532425551,117913,1299,189.755229794,67.3102230393,11.2948306946,2.5672691674,10.9337661034
11,0,3200,3256,0.290192078,0.1005033585,0.3621500682,0.1005033585,0.3621500682,322682,37601,176.533715916,42.3302213798,6.8492272287,1.3450733981,4.3598654483
12,0,3914,1439,2.4042122036,1.1619460297,0.1005033585,0.1005033585,0.1005033585,85138,67047,150.340456123,68.1173657547,5.4803489741,0.1005033585,71.8792737542
13,1,23230,495,118.052431863,56.6682926506,6.373205373,0.8407197447,9.8270049445,750,997,2.2924645126,0.312365991,5.135357861,2.0324587395,4.4231557936
14,0,4321482,259,0,68.5940808,0,773.24875881,2.1019940226,0.3395221406,10.2165316735,224146,272,56.7252801893,11.8540570388,0.1005033585
15,1,2088,419,4.2508332587,0.1005033585,0.1005033585,0.1005033585,0.1005033585,4511,4962,4.7371764463,1.2309391821,1.4141017216,0.3647929643,2.4560551348
16,1,48711,22845,61.9248042388,18.5789010899,0.1005033585,0.1005033585,0.1005033585,750,997,2.2924645126,0.312365991,5.135357861,2.0324587395,4.4231557936
17,0,4760,425,5.0119622628,1.4078958975,0.1005033585,0.1005033585,0.1005033585,3166413,276,0,253.34542879,980.12092647,12.9634252305,2.3800180776
18,0,15385,673,55.9935458813,22.3219449455,6.9462332549,0.3419364717,6.503977478,224146,272,56.7252801893,11.8540570388,0.1005033585,0.1005033585,5.7829787543
19,1,265258,209,631.915946309,457.648549848,5.4609854877,0.1005033585,7.4981264982,219,148,0.7583073708,0.1005033585,0.1005033585,0.1005033585,0.1005033585
20,1,723800,328,0,695.43019461,317.463664979,3.5810568194,1.8582262703,6.4840859489,100151,31383,286.941738381,37.7999641202,6.6636151376,0.1005033585
21,0,352126,499,476.925046137,201.19920615,6.7102808036,0.1005033585,7.9745485017,35420121,136440,0,169.806819,0,627.82220971,0.1005033585
22,1,4947410,112,0,774.21392717,830.899475371,0.1005033585,0.1005033585,0.1005033585,85138,67047,150.340456123,68.1173657547,5.4803489741,0.1005033585
23,1,356712,2070,24.8239103521,4.4681260342,2.144406357,0.6057667162,1.6270389073,871652,140,133.213344879,56.0277473134,2.6225502905,1.1211602233,2.6225502905
24,0,127,36,0.1005033585,0.1005033585,0.1005033585,0.1005033585,0.34437519,4491415,756,0,499.99625119,0,206.57189762,26.9669247433
25,0,26821,24787,8.1487198267,7.707475357,1.0589928178,1.0589928178,42.4717126568,96531,87,81.5617342573,43.3214649545,6.5902451098,2.3391332378,12.0896446122
26,0,41367,71,32.5496527385,16.5278458647,4.5907304623,1.5873651839,10.8323755103,322682,37601,176.533715916,42.3302213798,6.8492272287,1.3450733981,4.3598654483
27,0,2774790,20342,0,88.57716465,6.1830806789,0.8104606078,0.3395221406,1.0817573066,85138,67047,150.340456123,68.1173657547,5.4803489741,0.1005033585
28,1,98788,2354,385.79535532,172.183430066,8.3611127573,5.0922007269,10.7774189865,26821,24787,8.1487198267,7.707475357,1.0589928178,1.0589928178,42.4717126568
29,1,57840,27137,271.759860328,35.9558041591,13.0793877781,0.1005033585,12.6428812457,158467,154157,299.60787906,80.1902863889,0.1005033585,0.1005033585,0.1005033585
30,0,1043,974,0.1005033585,0.1005033585,1.1342695243,0.1005033585,1.6373493471,125438,983,55.1372659579,23.4461396366,2.251398297,0.1005033585,7.2079084546
31,0,45589,862,148.854279232,36.998883856,27.8817679309,3.3334918042,23.8612817152,1706188,402,837.580052302,93.569848167,7.6212593663,2.6090599903,4.8662709906
32,1,504004,3109,311.8003107,142.633228932,4.4860901625,1.0494079232,4.8068233239,49326,42259,0.4523399003,0.275537618,0.1005033585,0.1005033585,0.1005033585
33,0,444,155,0.1005033585,0.1005033585,0.349326776,0.1005033585,0.349326776,236123,858,77.1935733839,23.9710764579,12.5416012889,2.5507250684,12.6070724246
34,1,130850,3394,92.8696511202,16.5384838869,2.5480476154,0.1005033585,3.036687975,1294,431,0.5552041679,0.1005033585,0.1005033585,0.1005033585,0.5959620807
35,0,5941,1615,39.5895711782,3.8664530784,1.5159530712,0.1005033585,1.2816907629,206818,15196,15.2101079964,4.3146589875,0.1005033585,0.1005033585,0.1005033585
36,0,1043,81,2.7182813378,0.9324577381,0.1005033585,0.1005033585,0.1005033585,1097135,830,73.1656773765,19.8983664028,0.1005033585,0.1005033585,0.3518401439
37,0,5039,1159,27.9277350494,13.8868415869,3.2766569538,1.5789628659,4.7313423019,424,884,0.2686405698,0.1005033585,0.5959620807,0.1005033585,0.8602516864
38,1,541611,2140,0,418.36985923,981.459888729,13.9255848212,0.1005033585,32.9730239162,5501,5908,7.1963894102,2.6357228664,1.7722887831,0.3419364717
39,0,598,600,12.5329763908,0.1005033585,3.0695841148,0.1005033585,2.7647620837,480412,11948,0,795.52554643,685.575043835,4.5349874439,1.3181402227
40,1,9542820,2069,0,336.3582863,668.570800935,7.3769959697,1.8383807208,3.1136251344,130878,5409,14.4416640637,5.6737539819,0.8752136377,0.1005033585
41,0,627949,150866,246.40384554,74.7054295201,21.2609389965,1.3206810342,15.2780657745,58090,6,98.9542408593,27.7975963377,0.7962624141,0.3324230437,0.3324230437
42,1,5342840,33401,0,73,636.23895,0,349.6742074,11.408839373,1.652900203,13.4852657683,470926,322,0,5.88841255
43,1,2260661,233,0,580.6294376,0,883.09001537,27.1828015928,13.098383319,18.3497218154,138235,780,267.436511255,128.707882764,32.381551153
44,0,176,77,0.1005033585,0.1005033585,0.3371319527,0.1005033585,0.3371319527,1856,1533,0.9669805687,0.3060734589,0.3569432987,0.1005033585,0.608280084
